"size","sex","age","wt_pctl","weight","hr","lo","hi","e_val","e_val_lo"
"Standard","Male",0.5,50,42.7,3.94488320529732,2.96824749330827,5.24285914113318,4.51305653687375,3.62890105453762
"Large","Male",0.5,50,50.8,4.16850437209007,3.12056679192949,5.56835660274072,4.70062311533095,3.77475063128905
"Giant","Male",0.5,50,70.2725,2.81277651169206,1.86018878977206,4.25317674648282,3.47646775303508,2.44053794231992
"Toy and Small","Female",1,50,8.2,2.57152262063641,2.01773391612012,3.27730457203211,3.23208612264203,2.62702489696193
"Medium","Female",1,50,24.4,1.82405646511166,1.2318954220355,2.70086399251167,2.39663201776624,1.57924920561761
"Standard","Female",1,50,44.8,2.12608772654733,1.62965426645428,2.77374723830847,2.75109703307523,2.15176401983993
"Large","Female",1,50,51.8,2.26650125623607,1.68274960360835,3.05275837445112,2.90742850452447,2.22022265257506
"Giant","Female",1,50,76,1.53783697816957,1.02934882688437,2.29751325270747,2.0300714795101,1.16399721383359
"Toy and Small","Male",1,50,10.2,5.62673389728926,4.41483806834929,7.17130138427516,5.82133879817073,4.90183306457196
"Medium","Male",1,50,27.1,4.04440728377474,2.7310886253406,5.98927113725952,4.59713408134254,3.39483495619742
"Standard","Male",1,50,54.6,4.77349486236112,3.69713178430916,6.1632245022193,5.1854698846852,4.2993521840568
"Large","Male",1,50,64.6,5.19041443657386,3.98509316007057,6.76029416158424,5.50256340469304,4.54714390699374
"Giant","Male",1,50,94.8,3.59553670891217,2.46588482210991,5.24269589123524,4.20980403500998,3.12177806992534
"Toy and Small","Female",1.5,50,8.45,2.82736068767902,2.23394877168724,3.57840276354913,3.49092766301072,2.87160566178017
"Medium","Female",1.5,50,24.8,2.00628670041864,1.36037504252526,2.95887986654384,2.61372788756702,1.77962499199287
"Standard","Female",1.5,50,47.3,2.32835265370205,1.78808626856202,3.03185935450482,2.97483239494375,2.35246080018209
"Large","Female",1.5,50,56.1,2.49077885432133,1.85178060292617,3.35027772260428,3.14796582541925,2.43036120215443
"Giant","Female",1.5,50,82.3,1.70852460211306,1.15459818280479,2.52820103088549,2.25300111053468,1.44492654599443
"Toy and Small","Male",1.5,50,10.5,6.17896728618593,4.90382686169747,7.7856820398712,6.20767264236444,5.28598931434271
"Medium","Male",1.5,50,28.55,4.38526987299088,2.98588803064268,6.44049330102384,4.87796711777588,3.64596439136512
"Standard","Male",1.5,50,57.6,5.26673095535272,4.11884501582427,6.73452262697471,5.55924551263243,4.65938654470051
"Large","Male",1.5,50,68.5,5.75604390460981,4.44359158334735,7.45614010881652,5.91344377230842,4.92496868734889
"Giant","Male",1.5,50,99.4,3.99107733924479,2.75567410646128,5.780327321901,4.55220312660464,3.41951975586618
"Toy and Small","Female",2,50,8.7,2.92310512626806,2.28703746831882,3.73607503050469,3.58502390626727,2.92990306903127
"Medium","Female",2,50,25.2,2.07522680495907,1.39991599724632,3.07630336426743,2.69325244819715,1.837551315915
"Standard","Female",2,50,49.8,2.40337561559564,1.8223002575507,3.1697379867593,3.05547564958491,2.39448629394516
"Large","Female",2,50,60.4,2.58520035654018,1.91004843238687,3.49900074266901,3.24621482069194,2.50039908064454
"Giant","Female",2,50,88.6,1.78483350344619,1.20427828075655,2.64526122070619,2.34844290015206,1.53285881389099
"Toy and Small","Male",2,50,10.8,6.38054956544112,5.0455648162398,8.06875230816894,6.3443374646906,5.39384860054797
"Medium","Male",2,50,30,4.4774893251475,3.04660876460825,6.58040208171845,4.95215214711464,3.70434969967844
"Standard","Male",2,50,60.6,5.47452866733935,4.24143256605871,7.0661182661145,5.71156945419856,4.76076464455763
"Large","Male",2,50,72.4,6.00546578574985,4.60138146645376,7.83799812442141,6.08823007573476,5.0506790264249
"Giant","Male",2,50,104,4.16564345951731,2.85397128179187,6.08015418463653,4.6982537438901,3.51722410599325
"Toy and Small","Female",2.5,50,8.75,2.99529877060818,2.30979919250115,3.88424013409225,3.65504840463834,2.95470258859891
"Medium","Female",2.5,50,25.8,2.10890396216678,1.40792932129331,3.15887726349596,2.73162962676223,1.8491220700538
"Standard","Female",2.5,50,50.35,2.46224527577169,1.83182739201811,3.30961957686461,3.11793916217373,2.40611333202269
"Large","Female",2.5,50,60.7,2.65256707422995,1.92835163220987,3.64877025837116,3.31530775536341,2.52217146420515
"Giant","Female",2.5,50,90.1,1.83294522353242,1.22062282351082,2.75243763082113,2.40747544155287,1.56049595069387
"Toy and Small","Male",2.5,50,11,6.51140088406627,5.0947383975512,8.3219859715266,6.43187834861681,5.4309237257339
"Medium","Male",2.5,50,30.1,4.58862585301528,3.09513665178074,6.80276497867914,5.04059397610804,3.7506303731359
"Standard","Male",2.5,50,60.825,5.61735134635573,4.27603417198224,7.37941627201188,5.81461505032349,4.78912866136323
"Large","Male",2.5,50,72.95,6.16429756233188,4.6516024748923,8.16891912885366,6.19763965224892,5.0902560644556
"Giant","Male",2.5,50,105.15,4.27715221854918,2.89154153843414,6.32673985743499,4.79004334615217,3.55416115417088
"Toy and Small","Female",3,50,8.8,3.0401396610334,2.3614128431163,3.9139488825644,3.69815483145488,3.01051636990129
"Medium","Female",3,50,26.4,2.12334499752683,1.41920299166677,3.17684926328062,2.74799492312965,1.86531054501818
"Standard","Female",3,50,50.9,2.49886091043672,1.85879584140926,3.35932850214172,3.15644188841045,2.43885367413067
"Large","Female",3,50,61,2.69589066218761,1.96538231082506,3.69791995299854,3.35931732855665,2.56590192150138
"Giant","Female",3,50,91.6,1.86448388572814,1.24119196511766,2.80077559139725,2.44572716023489,1.59454056713033
"Toy and Small","Male",3,50,11.2,6.58198005262648,5.20319497350631,8.32612685739486,6.47872424854193,5.51208411768628
"Medium","Male",3,50,30.2,4.65790899023546,3.14871359171742,6.89046987899668,5.09521145763486,3.80134319843919
"Standard","Male",3,50,61.05,5.70922746750896,4.35178603281093,7.49009212079866,5.8802174083806,4.85084822546762
"Large","Male",3,50,73.5,6.26726218271127,4.75218894667476,8.26536480506044,6.26780698455565,5.16891224636643
"Giant","Male",3,50,106.3,4.34995423834952,2.93839509488231,6.43960436385525,4.84936178629763,3.59991972184657
"Toy and Small","Female",3.5,50,8.9,3.05681806503445,2.40938341658218,3.87822735825751,3.71411401512673,3.06188248395818
"Medium","Female",3.5,50,25.8,2.16139803325125,1.44981223977063,3.22223894238983,2.79086324006227,1.90875994379878
"Standard","Female",3.5,50,50.45,2.52281966943415,1.88579194605241,3.37503779131474,3.18149465321242,2.47137933148985
"Large","Female",3.5,50,62.5,2.71787334998561,2.00374498397707,3.68651480384517,3.38152433491264,2.61077034009264
"Giant","Female",3.5,50,90.975,1.87942652019943,1.25378105664694,2.81727341955175,2.46373202777552,1.61501256845379
"Toy and Small","Male",3.5,50,11.245,6.62870354936586,5.32616192493454,8.24978875307392,6.509595157351,5.60310798384645
"Medium","Male",3.5,50,30.6,4.67284960144976,3.17382805364683,6.87986968061469,5.1069383302423,3.82497933813778
"Standard","Male",3.5,50,61.425,5.75642544886864,4.4169702715226,7.50207312057817,5.91371400598386,4.9035511305525
"Large","Male",3.5,50,74.25,6.32201597958345,4.84831480502257,8.24366561443249,6.30488240098863,5.24333496545538
"Giant","Male",3.5,50,106.925,4.3876718599753,2.97243199233554,6.47673837465745,4.87990872652488,3.63295281121302
"Toy and Small","Female",4,50,9,3.05397857282287,2.4121040532746,3.86665952930159,3.71139978143114,3.06478138236917
"Medium","Female",4,50,25.2,2.18666958847427,1.46032239258066,3.27429334334071,2.81913280865252,1.92351767081832
"Standard","Female",4,50,50,2.53092069182408,1.88184847229987,3.40386574296008,3.18994076190803,2.46664329632768
"Large","Female",4,50,64,2.72336187354695,2.01133337580494,3.68745429450302,3.38705604068693,2.61959469917991
"Giant","Female",4,50,90.35,1.88239662843996,1.2491149674674,2.83674214067459,2.46730192880035,1.60745520496653
"Toy and Small","Male",4,50,11.29,6.633155006063,5.3392894468167,8.24056192733488,6.51253048253959,5.61276416794738
"Medium","Male",4,50,31,4.6584063945643,3.1521679400285,6.88438895064752,5.0956021599849,3.80459930790109
"Standard","Male",4,50,61.8,5.76708966556687,4.40250347510021,7.55463871835584,5.92126346604453,4.89188646682574
"Large","Male",4,50,75,6.33654296793573,4.85897183453487,8.2634306498999,6.31469168825452,5.25154185169038
"Giant","Male",4,50,107.55,4.39746773812044,2.96363285569545,6.5250061156014,4.88782185010798,3.6244297827093
"Toy and Small","Female",4.5,50,8.9,3.05362844946394,2.37845705923406,3.92046039728729,3.71106502332965,3.02882218890679
"Medium","Female",4.5,50,25.5,2.1695891123262,1.43238533900635,3.28620852792987,2.80004328411391,1.8841107990868
"Standard","Female",4.5,50,51.1,2.51575133141853,1.84289027177703,3.43428193119241,3.17411500799626,2.41957446336094
"Large","Female",4.5,50,64.525,2.71561519054037,1.98333371232887,3.71826779187564,3.37924692646141,2.58695164252804
"Giant","Female",4.5,50,91.95,1.87841906132071,1.23218670008495,2.86357430224632,2.46252045457606,1.57973064872358
"Toy and Small","Male",4.5,50,11.345,6.60367327046281,5.23786358947813,8.32562740859195,6.49307117601234,5.53785263018736
"Medium","Male",4.5,50,30.25,4.6888464465919,3.13306403661552,7.01718213952212,5.11947431003123,3.78657125774617
"Standard","Male",4.5,50,62.15,5.74992729323461,4.31390642154193,7.66397335658175,5.90911038323183,4.82004959714897
"Large","Male",4.5,50,75.3,6.31887390808186,4.77985783994309,8.35342154584101,6.30275922636359,5.19040789151212
"Giant","Male",4.5,50,107.575,4.38457764345,2.91618807557362,6.59234610842446,4.87740747108811,3.57827349605073
"Toy and Small","Female",5,50,8.8,3.04162059339095,2.33192784621767,3.96729935239873,3.69957351519273,2.97870270045213
"Medium","Female",5,50,25.8,2.14455985636927,1.39984227133096,3.28546799288877,2.77193950459506,1.83744460812365
"Standard","Female",5,50,52.2,2.49208428509116,1.79771604239267,3.45465242426857,3.14933575548025,2.36433259926951
"Large","Female",5,50,65.05,2.69761787769043,1.94513547173577,3.74120071315196,3.36106515928241,2.54204413080893
"Giant","Female",5,50,93.55,1.86728757294178,1.21018752997483,2.88117568038014,2.44911112974592,1.54291476477468
"Toy and Small","Male",5,50,11.4,6.54921211196857,5.10932134262375,8.39488777692141,6.45700707869472,5.44188519687118
"Medium","Male",5,50,29.5,4.70320680411057,3.10311460913699,7.12837166152359,5.13071036930707,3.75820710103542
"Standard","Male",5,50,62.5,5.71100793289981,4.20961856001664,7.74787813780346,5.88148350946301,4.73458912315575
"Large","Male",5,50,75.6,6.27717684740411,4.67612471250727,8.42641109810326,6.27453263593931,5.10950655671101
"Giant","Male",5,50,107.6,4.35502084698001,2.85742072255628,6.63752678347734,4.85347244317653,3.5206246201608
"Toy and Small","Female",5.5,50,9,2.99377718918323,2.27511143487073,3.9394562046949,3.65358053335824,2.91686300084698
"Medium","Female",5.5,50,25.9,2.1194495763734,1.37376238157994,3.26990065168558,2.74358575462144,1.79939806723968
"Standard","Female",5.5,50,51.1,2.47344212023518,1.76366739003318,3.46886037397243,3.12974097322199,2.32219996466789
"Large","Female",5.5,50,63.425,2.66947722228594,1.90344617863568,3.74379308450485,3.33252451806453,2.49251922827094
"Giant","Female",5.5,50,93.925,1.84872898436407,1.18778282542842,2.87746108502203,2.42666171734962,1.50437360870984
"Toy and Small","Male",5.5,50,11.465,6.47135213552168,4.99604787522374,8.38230527565662,6.40518126776382,5.35633653306204
"Medium","Male",5.5,50,30.1,4.61892850113511,3.02611673144992,7.05012476117408,5.06453050740613,3.68470567272149
"Standard","Male",5.5,50,62.65,5.65313590339589,4.11785392776396,7.76082544521368,5.84022925738168,4.65856118290218
"Large","Male",5.5,50,75.8,6.21422286254269,4.58150571045347,8.4287935508272,6.23173569437654,5.03495869976557
"Giant","Male",5.5,50,106.95,4.30943602739276,2.80204542974352,6.62774367505192,4.81640643367368,3.46580624602396
"Toy and Small","Female",6,50,9.2,2.93784001850047,2.22747878570136,3.87474126788834,3.59937957372918,2.86445631495997
"Medium","Female",6,50,26,2.0883351247966,1.35110984662048,3.22782311472877,2.70822592946834,1.76583797339625
"Standard","Female",6,50,50,2.44848949187867,1.73618774761537,3.45302563047943,3.10340612247588,2.28786923767089
"Large","Female",6,50,61.8,2.63448835917888,1.86725712774512,3.71696474551972,3.29684554823174,2.44907439752273
"Giant","Female",6,50,94.3,1.82483788907686,1.16781376219101,2.85151059974052,2.39758640336247,1.46897949698093
"Toy and Small","Male",6,50,11.53,6.37515826756986,4.90492940502214,8.2860811197304,6.34071112304119,5.28683411458061
"Medium","Male",6,50,30.7,4.52357195238915,2.95843982242678,6.91672112216782,4.98895019224611,3.61939428590158
"Standard","Male",6,50,62.8,5.57900001240623,4.04212338922563,7.70022043893904,5.7870735149925,4.59521559025296
"Large","Male",6,50,76,6.13335751952899,4.5018616310195,8.35611521312878,6.17643937998206,4.97163637873856
"Giant","Male",6,50,106.3,4.25147504445324,2.75262226257803,6.56648037013262,4.7690080031583,3.41646106810131
"Toy and Small","Female",0.5,75,10.3,1.92027730418689,1.45053191065833,2.54214671037583,2.51257980898334,1.90977301296228
"Medium","Female",0.5,75,28.3,1.36006477514506,0.897814905638773,2.06030906924441,1.77916467843287,1
