size,ageYears1,ageYears2,hr,lo,hi
Toy and Small,Spayed/neutered at 3.5 years,2.5,0.9172905866219336,0.9032940768553166,0.9315039718122543
Toy and Small,Spayed/neutered at 3.5 years,3,0.9653313960107501,0.9567383973364884,0.974001573176459
Toy and Small,Spayed/neutered at 3.5 years,3.5,1,1,1
Toy and Small,Spayed/neutered at 3.5 years,4,1.0242604625596392,1.0133397519567129,1.0352988651013675
Toy and Small,Spayed/neutered at 3.5 years,5,1.0552159456855923,1.0263488235468297,1.0848949854896324
Toy and Small,Spayed/neutered at 3.5 years,6,1.0706790513163875,1.0329897049929582,1.1097435195983623
Toy and Small,Spayed/neutered at 4 years,0.5,0.7226304691111471,0.6706252735409507,0.7786685284474438
Toy and Small,Spayed/neutered at 4 years,1,0.7088347704257508,0.6695243775540921,0.7504532300975603
Toy and Small,Spayed/neutered at 4 years,1.5,0.7604538490781284,0.7273219096465249,0.7950950588836067
Toy and Small,Spayed/neutered at 4 years,2,0.833965993604023,0.8100461264781752,0.8585921909308507
Toy and Small,Spayed/neutered at 4 years,2.5,0.8955637947105914,0.8739611349235707,0.9177004312286421
Toy and Small,Spayed/neutered at 4 years,3,0.9424667174972025,0.9243544988371739,0.960933835132896
Toy and Small,Spayed/neutered at 4 years,3.5,0.9763141667120373,0.9659046616477153,0.9868358544792559
Toy and Small,Spayed/neutered at 4 years,4,1,1,1
Toy and Small,Spayed/neutered at 4 years,5,1.0302222767132754,1.0127204108015346,1.048026610420792
Toy and Small,Spayed/neutered at 4 years,6,1.0453191258020051,1.0188932333289171,1.0724303970470352
Toy and Small,Spayed/neutered at 5 years,0.5,0.7014316089306056,0.6505720864194141,0.7562671566726105
Toy and Small,Spayed/neutered at 5 years,1,0.6880406165232099,0.6523950465325632,0.7256337896826901
Toy and Small,Spayed/neutered at 5 years,1.5,0.7381454141180144,0.7053468342962191,0.7724691256707829
Toy and Small,Spayed/neutered at 5 years,2,0.8095010294910616,0.7779761418297074,0.8423033580514692
Toy and Small,Spayed/neutered at 5 years,2.5,0.8692918168763616,0.8353501876889614,0.9046125493534636
Toy and Small,Spayed/neutered at 5 years,3,0.9148188102706994,0.8823958992004498,0.9484330745229186
Toy and Small,Spayed/neutered at 5 years,3.5,0.9476733213600961,0.9217481999409208,0.9743276136316169
Toy and Small,Spayed/neutered at 5 years,4,0.9706643144917292,0.954174245249833,0.9874393656276099
Toy and Small,Spayed/neutered at 5 years,5,1,1,1
Toy and Small,Spayed/neutered at 5 years,6,1.0146539726717023,1.0052714737935444,1.0241240412138701
Toy and Small,Spayed/neutered at 6 years,0.5,0.6913012985931274,0.6405502150508442,0.7460734134615984
Toy and Small,Spayed/neutered at 6 years,1,0.6781037033852254,0.6436625255927758,0.7143877641801283
Toy and Small,Spayed/neutered at 6 years,1.5,0.7274848707036491,0.6941327665671307,0.7624394965822751
Toy and Small,Spayed/neutered at 6 years,2,0.7978099443690816,0.7625251727926017,0.8347274687380295
Toy and Small,Spayed/neutered at 6 years,2.5,0.856737213167771,0.8174294004334749,0.8979352247879098
Toy and Small,Spayed/neutered at 6 years,3,0.9016066904679547,0.8629529446332949,0.9419918309010598
Toy and Small,Spayed/neutered at 6 years,3.5,0.9339867056990716,0.9011091142590492,0.9680638588811655
Toy and Small,Spayed/neutered at 6 years,4,0.956645655203874,0.932461447151746,0.9814571019701549
Toy and Small,Spayed/neutered at 6 years,5,0.9855576649119928,0.9764442194079571,0.9947561689245477
Toy and Small,Spayed/neutered at 6 years,6,1,1,1
Standard,Spayed/neutered at 0.5 years,0.5,1,1,1
Standard,Spayed/neutered at 0.5 years,1,0.8611261434951487,0.790365095263551,0.9382223980470166
Standard,Spayed/neutered at 0.5 years,1.5,0.8878826639582359,0.8048121399882179,0.9795275018703303
Standard,Spayed/neutered at 0.5 years,2,0.9700931710555384,0.8786025206396975,1.071110927206768
Standard,Spayed/neutered at 0.5 years,2.5,1.0378060221487915,0.9364518103454725,1.1501300202633595
Standard,Spayed/neutered at 0.5 years,3,1.0858275099845538,0.980147096337263,1.2029024886623358
Standard,Spayed/neutered at 0.5 years,3.5,1.1170198345406306,1.010562211313111,1.2346922305118553
Standard,Spayed/neutered at 0.5 years,4,1.1358730475749568,1.0276983577873493,1.2554341168599872
Standard,Spayed/neutered at 0.5 years,5,1.15592870430434,1.0392067315018214,1.285760695086845
Standard,Spayed/neutered at 0.5 years,6,1.1628735076243442,1.041747250781894,1.2980833822403486
Standard,Spayed/neutered at 1 years,0.5,1.161270050333379,1.065845371077879,1.2652380602239846
Standard,Spayed/neutered at 1 years,1,1,1,1
Standard,Spayed/neutered at 1 years,1.5,1.0310715458649151,0.9965387740821737,1.066800971865248
Standard,Spayed/neutered at 1 years,2,1.126540145579732,1.051889227138533,1.2064889218944963
Standard,Spayed/neutered at 1 years,2.5,1.205173051577013,1.1052131697297911,1.3141737033431757
Standard,Spayed/neutered at 1 years,3,1.2609389671731324,1.1523953225331371,1.3797062933583073
Standard,Spayed/neutered at 1 years,3.5,1.2971616794803795,1.1901647845673282,1.4137776924092578
Standard,Spayed/neutered at 1 years,4,1.3190553511296996,1.2155120332392109,1.4314190001946976
Standard,Spayed/neutered at 1 years,5,1.3423453846292948,1.236843722624228,1.4568462439316687
Standard,Spayed/neutered at 1 years,6,1.3504101767303194,1.242697540901891,1.467458963581214
Standard,Spayed/neutered at 1.5 years,0.5,1.1262749466713744,1.0209003811435402,1.2425259887538966
Standard,Spayed/neutered at 1.5 years,1,0.9698648013423251,0.9373819731824485,1.0034732476124815
Standard,Spayed/neutered at 1.5 years,1.5,1,1,1
Standard,Spayed/neutered at 1.5 years,2,1.092591634496841,1.0504830155474603,1.136388177728272
Standard,Spayed/neutered at 1.5 years,2.5,1.1688549222508626,1.1014500109927647,1.2403847797310925
Standard,Spayed/neutered at 1.5 years,3,1.2229403209021652,1.1456826501092434,1.3054077657069203
Standard,Spayed/neutered at 1.5 years,3.5,1.2580714545781135,1.1782906473612043,1.3432541354451586
Standard,Spayed/neutered at 1.5 years,4,1.2793053560829357,1.1958329708628255,1.36860434022121
Standard,Spayed/neutered at 1.5 years,5,1.3018935397962812,1.2035455113477487,1.4082781024751494
Standard,Spayed/neutered at 1.5 years,6,1.3097152977851991,1.2039246395241996,1.424801939372629
Standard,Spayed/neutered at 2 years,0.5,1.030828821227471,0.9336101188023443,1.1381711029828536
Standard,Spayed/neutered at 2 years,1,0.8876736474272626,0.8288513734794548,0.9506704453284612
Standard,Spayed/neutered at 2 years,1.5,0.9152550398763751,0.8799809955776532,0.9519430444849688
Standard,Spayed/neutered at 2 years,2,1,1,1
Standard,Spayed/neutered at 2 years,2.5,1.0698003584744096,1.0473147936749618,1.092768682256547
Standard,Spayed/neutered at 2 years,3,1.1193022921737388,1.0846828706200362,1.1550266489865626
Standard,Spayed/neutered at 2 years,3.5,1.151456239327222,1.1048843905224464,1.1999911325189943
Standard,Spayed/neutered at 2 years,4,1.170890674695753,1.10779422393933,1.2375808994690696
Standard,Spayed/neutered at 2 years,5,1.1915646236810422,1.098851244695791,1.2921005088374926
Standard,Spayed/neutered at 2 years,6,1.1987235271010661,1.0939350518581044,1.3135497322120795
Standard,Spayed/neutered at 2.5 years,0.5,0.963571205656994,0.8694669145067769,1.0678606084717628
Standard,Spayed/neutered at 2.5 years,1,0.8297563563103767,0.7609344163987322,0.9048028266298036
Standard,Spayed/neutered at 2.5 years,1.5,0.85553816899218,0.8062014435688203,0.9078941304823036
Standard,Spayed/neutered at 2.5 years,2,0.9347538464336014,0.9151067524510481,0.9548227581996267
Standard,Spayed/neutered at 2.5 years,2.5,1,1,1
Standard,Spayed/neutered at 2.5 years,3,1.046272122931348,1.0314705491338088,1.0612860989027235
Standard,Spayed/neutered at 2.5 years,3.5,1.0763281487110898,1.0431546200492714,1.110556634119229
Standard,Spayed/neutered at 2.5 years,4,1.0944945619250819,1.0398955987550047,1.1519602040029422
Standard,Spayed/neutered at 2.5 years,5,1.1138196152600603,1.0263470299591413,1.2087472357058966
Standard,Spayed/neutered at 2.5 years,6,1.1205114277681982,1.019784402976334,1.23118754914735
Standard,Spayed/neutered at 3 years,0.5,0.9209565891494362,0.8313225796980688,1.0202550247171325
Standard,Spayed/neutered at 3 years,1,0.7930597959406989,0.7247919392800086,0.8677577741307128
Standard,Spayed/neutered at 3 years,1.5,0.8177013897638915,0.7660441635709649,0.8728420561353947
Standard,Spayed/neutered at 3 years,2,0.8934136979724682,0.8657808898845882,0.9219284521644293
Standard,Spayed/neutered at 3 years,2.5,0.9557742943568953,0.9422529900598077,0.9694896289959645
Standard,Spayed/neutered at 3 years,3,1,1,1
Standard,Spayed/neutered at 3 years,3.5,1.0287267768308048,1.0095750780397417,1.0482417844778036
Standard,Spayed/neutered at 3 years,4,1.0460897676014085,1.005007011351133,1.088851908017224
Standard,Spayed/neutered at 3 years,5,1.0645601568160397,0.990480410023717,1.1441804562828806
Standard,Spayed/neutered at 3 years,6,1.0709560191939749,0.9830648253070879,1.1667051505881356
Standard,Spayed/neutered at 3.5 years,0.5,0.895239250976457,0.8099184357752368,0.9895481829867886
Standard,Spayed/neutered at 3.5 years,1,0.7709139236988428,0.7073247833581758,0.8402197855009963
Standard,Spayed/neutered at 3.5 years,1.5,0.794867411036954,0.7444607640598083,0.8486870384989575
Standard,Spayed/neutered at 3.5 years,2,0.8684654838331367,0.8333394913517591,0.9050720677908649
Standard,Spayed/neutered at 3.5 years,2.5,0.9290846859273416,0.900449350602538,0.9586306581787145
Standard,Spayed/neutered at 3.5 years,3,0.9720754067282049,0.9539783805681474,0.9905157345421667
Standard,Spayed/neutered at 3.5 years,3.5,1,1,1
Standard,Spayed/neutered at 3.5 years,4,1.0168781363153507,0.9951995923163439,1.0390289064623035
Standard,Spayed/neutered at 3.5 years,5,1.0348327474236074,0.9802758007717857,1.0924260440757316
Standard,Spayed/neutered at 3.5 years,6,1.041050007945985,0.971911594259255,1.1151066881451754
Standard,Spayed/neutered at 4 years,0.5,0.8803800760436739,0.7965372189351816,0.9730481638143469
Standard,Spayed/neutered at 4 years,1,0.7581182996934541,0.6986074656435207,0.8226985604865679
Standard,Spayed/neutered at 4 years,1.5,0.7816742072134116,0.7306713639665706,0.8362371872707886
Standard,Spayed/neutered at 4 years,2,0.8540506997033197,0.8080279846182231,0.9026947228917548
Standard,Spayed/neutered at 4 years,2.5,0.9136637446979384,0.8680855436890126,0.961634996048864
Standard,Spayed/neutered at 4 years,3,0.9559409058105135,0.9183985376128684,0.9950179339103302
Standard,Spayed/neutered at 4 years,3.5,0.9834020068751713,0.9624371312294,1.0048235627513502
Standard,Spayed/neutered at 4 years,4,1,1,1
Standard,Spayed/neutered at 4 years,5,1.0176566005965166,0.9846932963912773,1.0517233747127517
Standard,Spayed/neutered at 4 years,6,1.0237706670715174,0.9749972696064451,1.0749839116771323
Standard,Spayed/neutered at 5 years,0.5,0.8651052580287113,0.7777497039855121,0.9622724427071778
Standard,Spayed/neutered at 5 years,1,0.7449647545636419,0.6864142349718708,0.8085095810473829
Standard,Spayed/neutered at 5 years,1.5,0.7681119611028094,0.710087019206241,0.8308784259268971
Standard,Spayed/neutered at 5 years,2,0.8392327030578913,0.7739336012642728,0.9100412861404574
Standard,Spayed/neutered at 5 years,2.5,0.8978114465747803,0.827302822674924,0.974329316313031
Standard,Spayed/neutered at 5 years,3,0.9393550881998715,0.8739880099409475,1.0096110835509156
Standard,Spayed/neutered at 5 years,3.5,0.9663397321834571,0.9153937746386022,1.0201210712461586
Standard,Spayed/neutered at 5 years,4,0.9826497459101952,0.9508203621252799,1.0155446408184345
Standard,Spayed/neutered at 5 years,5,1,1,1
Standard,Spayed/neutered at 5 years,6,1.0060079858681386,0.9872039072465273,1.0251702411239914
Standard,Spayed/neutered at 6 years,0.5,0.8599387581224708,0.7703665370664482,0.9599257394242604
Standard,Spayed/neutered at 6 years,1,0.7405157464239865,0.681450060831399,0.8047010371278658
Standard,Spayed/neutered at 6 years,1.5,0.763524715402695,0.7018519363051412,0.8306167738166799
Standard,Spayed/neutered at 6 years,2,0.8342207167805831,0.7612958805266954,0.9141310522059323
Standard,Spayed/neutered at 6 years,2.5,0.8924496218586281,0.8122239383370492,0.9805994258015798
Standard,Spayed/neutered at 6 years,3,0.9337451604713163,0.857114584173988,1.0172269155166058
Standard,Spayed/neutered at 6 years,3.5,0.9605686493130359,0.896775179120628,1.0289001653099454
Standard,Spayed/neutered at 6 years,4,0.9767812579163719,0.9302464800983428,1.0256438978579367
Standard,Spayed/neutered at 6 years,5,0.9940278944575635,0.9754477450531583,1.012961955133629
Standard,Spayed/neutered at 6 years,6,1,1,1
Medium,Spayed/neutered at 0.5 years,0.5,1,1,1
Medium,Spayed/neutered at 0.5 years,1,0.9986037810384658,0.8878936514387015,1.1231181908874879
Medium,Spayed/neutered at 0.5 years,1.5,1.0587445399710107,0.9271702066078322,1.208990531543853
Medium,Spayed/neutered at 0.5 years,2,1.1370392400476363,0.9880090454420714,1.3085489848219298
Medium,Spayed/neutered at 0.5 years,2.5,1.2008228303618487,1.0318418696758862,1.3974771835641666
Medium,Spayed/neutered at 0.5 years,3,1.2485809295247596,1.071992348824802,1.4542588286958906
Medium,Spayed/neutered at 0.5 years,3.5,1.2829749677595128,1.1077500284657342,1.4859171524259085
Medium,Spayed/neutered at 0.5 years,4,1.307714200120316,1.1341301631613314,1.5078661028020393
Medium,Spayed/neutered at 0.5 years,5,1.3437700157485108,1.1612922227361115,1.5549211644338021
Medium,Spayed/neutered at 0.5 years,6,1.3700663560354434,1.1793029238333,1.5916875825583663
Medium,Spayed/neutered at 1 years,0.5,1.0013981711145559,0.8903782416789101,1.1262610092770082
Medium,Spayed/neutered at 1 years,1,1,1,1
Medium,Spayed/neutered at 1 years,1.5,1.0602248460044918,1.004192481152821,1.1193837288990647
Medium,Spayed/neutered at 1 years,2,1.1386290154691872,1.01629704251099,1.2756861238768296
Medium,Spayed/neutered at 1 years,2.5,1.2025017861569613,1.0399710108303986,1.390433512715002
Medium,Spayed/neutered at 1 years,3,1.2503266593146094,1.0734186604632545,1.456390514320062
Medium,Spayed/neutered at 1 years,3.5,1.284768786300133,1.1095927511564097,1.4876005926776656
Medium,Spayed/neutered at 1 years,4,1.3095426083410193,1.140893263377546,1.5031220694420935
Medium,Spayed/neutered at 1 years,5,1.3456488361691443,1.1785266000625128,1.5364700212853266
Medium,Spayed/neutered at 1 years,6,1.3719819432395142,1.201918031761081,1.5661088384015913
Medium,Spayed/neutered at 1.5 years,0.5,0.9445149063317775,0.8271363372242652,1.0785506187247158
Medium,Spayed/neutered at 1.5 years,1,0.9431961567101055,0.8933487008816174,0.9958250223622389
Medium,Spayed/neutered at 1.5 years,1.5,1,1,1
Medium,Spayed/neutered at 1.5 years,2,1.0739505113091485,1.0064496103167362,1.1459785854338091
Medium,Spayed/neutered at 1.5 years,2.5,1.1341950631402817,1.0271880858573397,1.2523494566996451
Medium,Spayed/neutered at 1.5 years,3,1.1793032996977244,1.0567589162343882,1.3160582336354494
Medium,Spayed/neutered at 1.5 years,3.5,1.2117889814993894,1.086223599346396,1.3518694830115225
Medium,Spayed/neutered at 1.5 years,4,1.2351555552353757,1.1071144957957062,1.3780049411531932
Medium,Spayed/neutered at 1.5 years,5,1.269210810556165,1.1241690839940315,1.432966005353328
Medium,Spayed/neutered at 1.5 years,6,1.294048095939178,1.1372746421079583,1.4724327902888834
Medium,Spayed/neutered at 2 years,0.5,0.8794771233736005,0.7642052468796819,1.0121364825689054
Medium,Spayed/neutered at 2 years,1,0.878249180737711,0.7838918847537392,0.9839642921023125
Medium,Spayed/neutered at 2 years,1.5,0.9311416024012106,0.8726166550672942,0.9935917205882702
Medium,Spayed/neutered at 2 years,2,1,1,1
Medium,Spayed/neutered at 2 years,2.5,1.0560962085279837,1.0191219064656147,1.094411958560734
Medium,Spayed/neutered at 2 years,3,1.0980983641975741,1.0427929740004251,1.1563369216303296
Medium,Spayed/neutered at 2 years,3.5,1.1283471340054754,1.0582082110780122,1.2031349232504784
Medium,Spayed/neutered at 2 years,4,1.1501047229166257,1.0590514033186276,1.2489864699014679
Medium,Spayed/neutered at 2 years,5,1.1818149879262079,1.0487906352680723,1.331711610230032
Medium,Spayed/neutered at 2 years,6,1.204942017637021,1.0512939033636968,1.3810460245434266
Medium,Spayed/neutered at 2.5 years,0.5,0.832762314902579,0.7155751891773795,0.9691407466476545
Medium,Spayed/neutered at 2.5 years,1,0.8315995963680598,0.7192001565377766,0.9615652644024352
Medium,Spayed/neutered at 2.5 years,1.5,0.8816825539967246,0.7984991686228943,0.9735315408816807
Medium,Spayed/neutered at 2.5 years,2,0.9468834296771388,0.9137327056578444,0.9812368801570257
Medium,Spayed/neutered at 2.5 years,2.5,1,1,1
Medium,Spayed/neutered at 2.5 years,3,1.0397711452142537,1.01753393046707,1.062494332669478
Medium,Spayed/neutered at 2.5 years,3.5,1.068413204113473,1.0207031002206095,1.1183533923599316
Medium,Spayed/neutered at 2.5 years,4,1.089015104523165,1.0108698550366146,1.173201369069062
Medium,Spayed/neutered at 2.5 years,5,1.1190410290114117,0.9916456305771129,1.2628027452529984
Medium,Spayed/neutered at 2.5 years,6,1.1409396302222516,0.9906017519244408,1.3140934157271509
Medium,Spayed/neutered at 3 years,0.5,0.8009092373216242,0.687635502200631,0.9328424788630951
Medium,Spayed/neutered at 3 years,1,0.7997909926580061,0.6866290257780656,0.9316029586894183
Medium,Spayed/neutered at 3 years,1.5,0.8479582820266145,0.7598447959537648,0.9462896263637495
Medium,Spayed/neutered at 3 years,2,0.9106652305513099,0.8647998531345789,0.9589631162969383
Medium,Spayed/neutered at 3 years,2.5,0.9617500972235016,0.9411814908109079,0.9827682105312974
Medium,Spayed/neutered at 3 years,3,1,1,1
Medium,Spayed/neutered at 3 years,3.5,1.027546502931006,0.9998536167547145,1.056006397329223
Medium,Spayed/neutered at 3 years,4,1.0473603826530191,0.9875653781708298,1.1107758487674777
Medium,Spayed/neutered at 3 years,5,1.0762378184488022,0.9663205553948946,1.1986579767891758
Medium,Spayed/neutered at 3 years,6,1.0972988002923862,0.9638553663439782,1.2492171534929302
Medium,Spayed/neutered at 3.5 years,0.5,0.7794384342091427,0.6729850304018632,0.9027307373532899
Medium,Spayed/neutered at 3.5 years,1,0.778350167487951,0.6722234482308255,0.901231554512056
Medium,Spayed/neutered at 3.5 years,1.5,0.825226186462485,0.7397163798477997,0.9206207640873586
Medium,Spayed/neutered at 3.5 years,2,0.8862520848970822,0.8311619758308785,0.9449936123452353
Medium,Spayed/neutered at 3.5 years,2.5,0.9359674666598308,0.8941717410896531,0.9797168243966979
Medium,Spayed/neutered at 3.5 years,3,0.9731919646921755,0.9469639601891896,1.0001464046764772
Medium,Spayed/neutered at 3.5 years,3.5,1,1,1
Medium,Spayed/neutered at 3.5 years,4,1.0192827085348397,0.987214883902004,1.0523921963288076
Medium,Spayed/neutered at 3.5 years,5,1.04738599701222,0.9652139811910794,1.136553601703486
Medium,Spayed/neutered at 3.5 years,6,1.0678823753109015,0.9616914605568009,1.1857989950741574
Medium,Spayed/neutered at 4 years,0.5,0.7646930804207794,0.6631888588394678,0.8817330077991663
Medium,Spayed/neutered at 4 years,1,0.7636254014421415,0.6652819623433279,0.8765061834439798
Medium,Spayed/neutered at 4 years,1.5,0.8096146236491131,0.7256868028086626,0.9032489447094442
Medium,Spayed/neutered at 4 years,2,0.869486039031328,0.8006491856384077,0.9442412302806219
Medium,Spayed/neutered at 4 years,2.5,0.9182609091890042,0.8523685927791769,0.9892470282079776
Medium,Spayed/neutered at 4 years,3,0.9547811971529296,0.9002716444632866,1.012591188496504
Medium,Spayed/neutered at 4 years,3.5,0.981082080198773,0.9502160919554764,1.0129506922013396
Medium,Spayed/neutered at 4 years,4,1,1,1
Medium,Spayed/neutered at 4 years,5,1.02757163271981,0.9773858307578038,1.0803343236025578
Medium,Spayed/neutered at 4 years,6,1.0476802621776433,0.9726439385810984,1.12850539464406
Medium,Spayed/neutered at 5 years,0.5,0.7441749616975767,0.6431194216615688,0.8611097021246795
Medium,Spayed/neutered at 5 years,1,0.7431359305053512,0.6508425066201128,0.8485171229456822
Medium,Spayed/neutered at 5 years,1.5,0.7878911774804396,0.6978532611828631,0.8895459003792611
Medium,Spayed/neutered at 5 years,2,0.8461561329110845,0.7509133301220269,0.9534791467168264
Medium,Spayed/neutered at 5 years,2.5,0.893622283790099,0.7918893142726366,1.0084247529210864
Medium,Spayed/neutered at 5 years,3,0.9291626654054166,0.834266337323915,1.034853283847762
Medium,Spayed/neutered at 5 years,3.5,0.9547578474913799,0.8798529154288746,1.0360396963645246
Medium,Spayed/neutered at 5 years,4,0.9731681647859113,0.9256393860238843,1.0231374023753368
Medium,Spayed/neutered at 5 years,5,1,1,1
Medium,Spayed/neutered at 5 years,6,1.0195690780258364,0.9924624808949971,1.047416023151847
Medium,Spayed/neutered at 6 years,0.5,0.729891654951441,0.6282639953706686,0.8479585522857185
Medium,Spayed/neutered at 6 years,1,0.7288725663829124,0.6385252260121489,0.8320034923968771
Medium,Spayed/neutered at 6 years,1.5,0.7727688044502182,0.6791481462483631,0.8792950822736034
Medium,Spayed/neutered at 6 years,2,0.8299154526630856,0.7240888299364242,0.9512087883325699
Medium,Spayed/neutered at 6 years,2.5,0.8764705629562566,0.7609809074696963,1.0094874131378238
