size,focal_age,comparator_age,hr,lower_95,upper_95
Giant,Spayed/neutered at 0.5 years,5,0.764,0.382,1.527
Giant,Spayed/neutered at 0.5 years,6,0.529,0.250,1.123
Giant,Spayed/neutered at 1 years,0.5,1.351,0.844,2.163
Giant,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Giant,Spayed/neutered at 1 years,1.5,1.150,0.943,1.402
Giant,Spayed/neutered at 1 years,2,1.461,0.984,2.170
Giant,Spayed/neutered at 1 years,2.5,1.658,1.024,2.682
Giant,Spayed/neutered at 1 years,3,1.689,1.035,2.756
Giant,Spayed/neutered at 1 years,3.5,1.587,0.980,2.571
Giant,Spayed/neutered at 1 years,4,1.411,0.857,2.322
Giant,Spayed/neutered at 1 years,5,1.032,0.595,1.790
Giant,Spayed/neutered at 1 years,6,0.715,0.381,1.343
Giant,Spayed/neutered at 1.5 years,0.5,1.175,0.689,2.006
Giant,Spayed/neutered at 1.5 years,1,0.870,0.713,1.061
Giant,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Giant,Spayed/neutered at 1.5 years,2,1.271,1.018,1.587
Giant,Spayed/neutered at 1.5 years,2.5,1.442,1.043,1.994
Giant,Spayed/neutered at 1.5 years,3,1.469,1.024,2.108
Giant,Spayed/neutered at 1.5 years,3.5,1.381,0.924,2.062
Giant,Spayed/neutered at 1.5 years,4,1.227,0.767,1.962
Giant,Spayed/neutered at 1.5 years,5,0.898,0.507,1.589
Giant,Spayed/neutered at 1.5 years,6,0.622,0.328,1.179
Giant,Spayed/neutered at 2 years,0.5,0.925,0.537,1.591
Giant,Spayed/neutered at 2 years,1,0.684,0.461,1.016
Giant,Spayed/neutered at 2 years,1.5,0.787,0.630,0.982
Giant,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Giant,Spayed/neutered at 2 years,2.5,1.134,1.006,1.278
Giant,Spayed/neutered at 2 years,3,1.156,0.935,1.429
Giant,Spayed/neutered at 2 years,3.5,1.086,0.779,1.513
Giant,Spayed/neutered at 2 years,4,0.965,0.607,1.533
Giant,Spayed/neutered at 2 years,5,0.706,0.382,1.308
Giant,Spayed/neutered at 2 years,6,0.489,0.248,0.965
Giant,Spayed/neutered at 2.5 years,0.5,0.815,0.466,1.428
Giant,Spayed/neutered at 2.5 years,1,0.603,0.373,0.976
Giant,Spayed/neutered at 2.5 years,1.5,0.694,0.502,0.959
Giant,Spayed/neutered at 2.5 years,2,0.882,0.782,0.994
Giant,Spayed/neutered at 2.5 years,2.5,1.000,1.000,1.000
Giant,Spayed/neutered at 2.5 years,3,1.019,0.902,1.151
Giant,Spayed/neutered at 2.5 years,3.5,0.958,0.729,1.258
Giant,Spayed/neutered at 2.5 years,4,0.851,0.557,1.301
Giant,Spayed/neutered at 2.5 years,5,0.623,0.342,1.135
Giant,Spayed/neutered at 2.5 years,6,0.431,0.218,0.855
Giant,Spayed/neutered at 3 years,0.5,0.800,0.457,1.401
Giant,Spayed/neutered at 3 years,1,0.592,0.363,0.966
Giant,Spayed/neutered at 3 years,1.5,0.681,0.474,0.976
Giant,Spayed/neutered at 3 years,2,0.865,0.700,1.069
Giant,Spayed/neutered at 3 years,2.5,0.981,0.869,1.108
Giant,Spayed/neutered at 3 years,3,1.000,1.000,1.000
Giant,Spayed/neutered at 3 years,3.5,0.940,0.803,1.099
Giant,Spayed/neutered at 3 years,4,0.835,0.609,1.144
Giant,Spayed/neutered at 3 years,5,0.611,0.368,1.014
Giant,Spayed/neutered at 3 years,6,0.423,0.225,0.797
Giant,Spayed/neutered at 3.5 years,0.5,0.851,0.480,1.511
Giant,Spayed/neutered at 3.5 years,1,0.630,0.389,1.021
Giant,Spayed/neutered at 3.5 years,1.5,0.724,0.485,1.082
Giant,Spayed/neutered at 3.5 years,2,0.921,0.661,1.283
Giant,Spayed/neutered at 3.5 years,2.5,1.044,0.795,1.372
Giant,Spayed/neutered at 3.5 years,3,1.064,0.910,1.245
Giant,Spayed/neutered at 3.5 years,3.5,1.000,1.000,1.000
Giant,Spayed/neutered at 3.5 years,4,0.889,0.757,1.043
Giant,Spayed/neutered at 3.5 years,5,0.650,0.449,0.942
Giant,Spayed/neutered at 3.5 years,6,0.451,0.258,0.789
Giant,Spayed/neutered at 4 years,0.5,0.958,0.517,1.774
Giant,Spayed/neutered at 4 years,1,0.709,0.431,1.167
Giant,Spayed/neutered at 4 years,1.5,0.815,0.510,1.303
Giant,Spayed/neutered at 4 years,2,1.036,0.652,1.646
Giant,Spayed/neutered at 4 years,2.5,1.175,0.769,1.797
Giant,Spayed/neutered at 4 years,3,1.198,0.874,1.641
Giant,Spayed/neutered at 4 years,3.5,1.125,0.959,1.321
Giant,Spayed/neutered at 4 years,4,1.000,1.000,1.000
Giant,Spayed/neutered at 4 years,5,0.732,0.581,0.922
Giant,Spayed/neutered at 4 years,6,0.507,0.310,0.831
Giant,Spayed/neutered at 5 years,0.5,1.309,0.655,2.616
Giant,Spayed/neutered at 5 years,1,0.969,0.559,1.679
Giant,Spayed/neutered at 5 years,1.5,1.114,0.629,1.971
Giant,Spayed/neutered at 5 years,2,1.416,0.765,2.621
Giant,Spayed/neutered at 5 years,2.5,1.606,0.881,2.926
Giant,Spayed/neutered at 5 years,3,1.636,0.986,2.717
Giant,Spayed/neutered at 5 years,3.5,1.538,1.062,2.226
Giant,Spayed/neutered at 5 years,4,1.366,1.085,1.721
Giant,Spayed/neutered at 5 years,5,1.000,1.000,1.000
Giant,Spayed/neutered at 5 years,6,0.693,0.496,0.968
Giant,Spayed/neutered at 6 years,0.5,1.889,0.891,4.008
Giant,Spayed/neutered at 6 years,1,1.398,0.745,2.625
Giant,Spayed/neutered at 6 years,1.5,1.607,0.848,3.046
Giant,Spayed/neutered at 6 years,2,2.043,1.036,4.031
Giant,Spayed/neutered at 6 years,2.5,2.318,1.170,4.590
Giant,Spayed/neutered at 6 years,3,2.362,1.255,4.446
Giant,Spayed/neutered at 6 years,3.5,2.219,1.268,3.883
Giant,Spayed/neutered at 6 years,4,1.972,1.204,3.231
Giant,Spayed/neutered at 6 years,5,1.443,1.033,2.016
Giant,Spayed/neutered at 6 years,6,1.000,1.000,1.000
