"","CensoredOO","OutcomeOO","CensoredObese","OutcomeObese"
"Intact","85,062 (78)","24,405 (22)","108,082 (99)","  1,385 (1)"
"Spayed/neutered","27,880 (61)","17,852 (39)"," 43,544 (95)","  2,188 (5)"
